Manzana	Lote	Superficie Privativa	Estatus	Categoría	Precio m2
	44	 7,825.75 	DISPONIBLE	Media  	265
	45	 7,552.65 	DISPONIBLE	Media  	265
L	1	 1,324.75 	DISPONIBLE	Media Plus	295
	2	 1,299.45 	DISPONIBLE	Media Plus	295
	3	 1,372.94 	DISPONIBLE	Plus	355
	4	 1,372.94 	DISPONIBLE	Plus	355
	5	 1,372.94 	DISPONIBLE	Plus	355
	6	 1,372.94 	DISPONIBLE	Plus	355
	7	 1,415.42 	DISPONIBLE	Plus	355
	8	 1,236.55 	RESERVADO	Plus	355
	9	 1,347.83 	RESERVADO	Plus	355
	10	 1,405.37 	RESERVADO	Plus	355
	11	 1,531.10 	RESERVADO	Media Plus	295
	12	 1,483.04 	DISPONIBLE	Media Plus	295
	13	 1,329.35 	DISPONIBLE	Media Plus	295
	14	 1,554.99 	DISPONIBLE	Media Plus	295
M	1	 2,669.06 	VENDIDO	Plus	355
	2	 1,098.59 	VENDIDO	Plus	355
	3	 1,000.00 	VENDIDO	Plus	355
	4	 1,195.20 	VENDIDO	Plus	355
	5	 1,595.10 	DISPONIBLE	Plus	355
	6	 1,957.59 	DISPONIBLE	Plus	355
	7	 1,942.30 	DISPONIBLE	Plus	355
	8	 2,470.62 	DISPONIBLE	Plus	355
	9	 2,339.81 	APARTADO	Plus	355
	10	 2,161.38 	DISPONIBLE	Plus	355
	11	 1,032.86 	VENDIDO	Plus	355
	12	 1,032.86 	VENDIDO	Plus	355
	13	 1,320.02 	VENDIDO	Plus	355
	14	 1,077.15 	DISPONIBLE	Plus	355
	15	 1,077.15 	APARTADO	Plus	355
	16	 1,077.15 	DISPONIBLE	Plus	355
	17	 1,077.15 	DISPONIBLE	Plus	355
	18	 1,077.15 	DISPONIBLE	Plus	355
	19	 1,077.15 	DISPONIBLE	Plus	355
	20	 1,077.15 	DISPONIBLE	Plus	355
	21	 1,077.15 	DISPONIBLE	Plus	355
	22	 1,077.15 	DISPONIBLE	Plus	355
	23	 1,101.45 	DISPONIBLE	Plus	355
	24	 1,293.36 	DISPONIBLE	Plus	355
	25	 1,653.86 	DISPONIBLE	Plus	355
	26	 2,352.48 	DISPONIBLE	Plus	355
N	1	 1,844.07 	DISPONIBLE	Plus	355
	2	 2,338.66 	DISPONIBLE	Plus	355
	3	 1,000.00 	VENDIDO	Plus	355
	4	 1,000.00 	VENDIDO	Plus	355
	5	 1,046.60 	APARTADO	Plus	355
	6	 1,202.56 	VENDIDO	Plus	355
	7	 1,110.55 	DISPONIBLE	Plus	355
	8	 1,000.00 	VENDIDO	Plus	355
	9	 1,026.63 	DISPONIBLE	Plus	355
	10	 1,762.62 	VENDIDO	Plus	355
	11	 8,670.54 	RESERVADO	Plus	355
Ñ	1	 1,692.98 	DISPONIBLE	Media Plus	295
	2	 1,199.15 	VENDIDO	Media Plus	295
	3	 1,451.04 	RESERVADO	Media Plus	295
	4	 1,576.98 	RESERVADO	Media Plus	295
	5	 1,590.94 	DISPONIBLE	Media Plus	295
	6	 1,771.35 	DISPONIBLE	Media Plus	295
	7	 1,870.04 	DISPONIBLE	Media Plus	295
	8	 1,990.95 	DISPONIBLE	Media Plus	295
	9	 1,603.24 	DISPONIBLE	Media Plus	295
O	1	 1,479.98 	RESERVADO	Plus	355
	2	 1,710.26 	RESERVADO	Plus	355
P	1	 1,004.24 	RESERVADO	Plus	355
	2	 1,040.14 	DISPONIBLE	Plus	355
	3	 1,290.11 	DISPONIBLE	Plus	355
	4	 1,479.90 	DISPONIBLE	Plus	355
	5	 2,033.25 	DISPONIBLE	Plus	355
	6	 2,671.70 	DISPONIBLE	Plus	355
	7	 2,693.46 	DISPONIBLE	Plus	355
	8	 1,120.38 	DISPONIBLE	Plus	355
	9	 1,049.21 	DISPONIBLE	Plus	355
	10	 1,049.21 	DISPONIBLE	Plus	355
	11	 1,049.21 	DISPONIBLE	Plus	355
	12	 1,049.21 	DISPONIBLE	Plus	355
	13	 1,049.21 	DISPONIBLE	Plus	355
	14	 1,048.82 	DISPONIBLE	Plus	355
	15	 1,048.98 	DISPONIBLE	Plus	355
	16	 1,507.49 	DISPONIBLE	Plus	355
	17	 1,518.77 	DISPONIBLE	Plus	355
	18	 1,068.19 	DISPONIBLE	Plus	355
	19	 1,068.19 	DISPONIBLE	Plus	355
	20	 1,068.19 	DISPONIBLE	Plus	355
	21	 1,068.19 	RESERVADO	Plus	355
	22	 1,068.19 	RESERVADO	Plus	355
	23	 1,068.19 	RESERVADO	Plus	355
	24	 1,392.72 	DISPONIBLE	Plus	355
	25	 1,096.29 	DISPONIBLE	Plus	355
	26	 1,057.73 	DISPONIBLE	Plus	355
	27	 1,057.73 	DISPONIBLE	Plus	355
	28	 1,057.73 	DISPONIBLE	Media Plus	295
	29	 1,057.73 	DISPONIBLE	Media Plus	295
	30	 1,057.73 	DISPONIBLE	Media Plus	295
	31	 1,057.73 	DISPONIBLE	Media Plus	295
	32	 1,057.73 	DISPONIBLE	Media Plus	295
	33	 1,037.19 	APARTADO	Media Plus	295
	34	 1,181.38 	DISPONIBLE	Plus	355
	35	 1,378.98 	DISPONIBLE	Plus	355
	36	 1,469.97 	DISPONIBLE	Plus	355
	37	 1,109.69 	DISPONIBLE	Plus	355
	38	 1,345.20 	DISPONIBLE	Plus	355
	39	 1,384.83 	DISPONIBLE	Media Plus	295
	40	 1,935.49 	DISPONIBLE	Media Plus	295
	41	 1,056.43 	DISPONIBLE	Plus	355
	42	 1,138.14 	DISPONIBLE	Plus	355
	43	 1,000.00 	DISPONIBLE	Plus	355
	44	 1,000.00 	DISPONIBLE	Plus	355
	45	 1,203.50 	DISPONIBLE	Plus	355
	46	 1,204.72 	DISPONIBLE	Plus	355
	47	 1,181.73 	DISPONIBLE	Plus	355
	48	 1,117.79 	DISPONIBLE	Plus	355
	49	 1,177.55 	DISPONIBLE	Plus	355
Q	1	 1,155.08 	DISPONIBLE	Media Plus	295
	2	 1,155.08 	DISPONIBLE	Media Plus	295
	3	 1,016.22 	DISPONIBLE	Media Plus	295
	4	 1,399.59 	DISPONIBLE	Media Plus	295
	5	 1,574.64 	DISPONIBLE	Media Plus	295
	6	 1,591.90 	DISPONIBLE	Media Plus	295
	7	 1,517.03 	DISPONIBLE	Media Plus	295
	8	 1,517.03 	DISPONIBLE	Media Plus	295
	9	 1,517.03 	DISPONIBLE	Plus	355
	10	 1,392.55 	DISPONIBLE	Plus	355
	11	 2,393.42 	DISPONIBLE	Plus	355
	12	 2,117.46 	DISPONIBLE	Plus	355
	13	 1,116.10 	DISPONIBLE	Plus	355
	14	 1,223.03 	DISPONIBLE	Plus	355
	15	 1,316.37 	DISPONIBLE	Plus	355
	16	 1,161.13 	VENDIDO	Plus	355
	17	 1,000.00 	VENDIDO	Plus	355
	18	 1,568.88 	DISPONIBLE	Plus	355
	19	 1,989.29 	DISPONIBLE	Plus	355
	20	 1,609.54 	DISPONIBLE	Plus	355
	21	 1,004.27 	DISPONIBLE	Plus	355
	22	 1,333.42 	DISPONIBLE	Plus	355
	23	 1,769.35 	DISPONIBLE	Plus	355
	24	 1,809.88 	DISPONIBLE	Plus	355
R	1	 1,140.62 	VENDIDO	Plus	355
	2	 1,650.80 	DISPONIBLE	Plus	355
	3	 2,047.70 	DISPONIBLE	Plus	355
	4	 1,747.08 	DISPONIBLE	Plus	355
	5	 1,525.38 	DISPONIBLE	Plus	355
	6	 1,714.84 	DISPONIBLE	Plus	355
	7	 2,129.26 	DISPONIBLE	Plus	355
	8	 2,868.27 	RESERVADO	Plus	355
S	1	 4,480.50 	RESERVADO	Plus	355
	2	 3,314.89 	RESERVADO	Plus	355
	3	 2,039.72 	VENDIDO	Plus	355
	4	 1,845.82 	RESERVADO	Plus	355
	5	 1,407.27 	RESERVADO	Plus	355
	6	 1,499.91 	RESERVADO	Plus	355
	7	 1,387.61 	RESERVADO	Plus	355
	8	 1,202.90 	RESERVADO	Plus	355
	9	 1,163.22 	RESERVADO	Plus	355
T	1	 1,011.16 	DISPONIBLE	Plus	355
	2	 1,003.68 	DISPONIBLE	Plus	355
	3	 1,077.37 	DISPONIBLE	Plus	355
	4	 1,455.93 	RESERVADO	Plus	355
	5	 1,205.18 	RESERVADO	Plus	355
	6	 1,399.10 	RESERVADO	Plus	355
	7	 1,418.61 	RESERVADO	Plus	355
	8	 1,177.70 	DISPONIBLE	Plus	355
	9	 1,254.88 	DISPONIBLE	Plus	355
	10	 2,509.87 	DISPONIBLE	Plus	355
	11	 2,509.87 	DISPONIBLE	Plus	355
	12	 1,254.93 	DISPONIBLE	Plus	355
	13	 1,254.93 	DISPONIBLE	Plus	355
	14	 2,323.88 	DISPONIBLE	Plus	355
	15	 2,044.39 	DISPONIBLE	Plus	355
	16	 1,022.10 	DISPONIBLE	Plus	355
	17	 1,453.64 	DISPONIBLE	Plus	355
	18	 1,301.12 	DISPONIBLE	Plus	355
	19	 1,196.72 	DISPONIBLE	Plus	355
	20	 1,112.55 	DISPONIBLE	Plus	355
	21	 1,048.10 	DISPONIBLE	Plus	355
	22	 1,022.20 	DISPONIBLE	Plus	355
	23	 1,022.20 	DISPONIBLE	Plus	355
	24	 1,022.20 	DISPONIBLE	Plus	355
	25	 1,022.20 	DISPONIBLE	Plus	355
	26	 1,022.20 	DISPONIBLE	Plus	355
	27	 1,382.15 	DISPONIBLE	Plus	355
	28	 1,311.75 	DISPONIBLE	Plus	355
	29	 1,292.54 	DISPONIBLE	Plus	355
	30	 1,317.00 	DISPONIBLE	Plus	355
	31	 1,355.04 	DISPONIBLE	Plus	355
	32	 1,461.34 	DISPONIBLE	Plus	355
	33	 1,534.79 	DISPONIBLE	Plus	355
	34	 1,429.22 	DISPONIBLE	Plus	355
	35	 1,555.79 	DISPONIBLE	Plus	355
	36	 1,624.61 	DISPONIBLE	Plus	355
	37	 1,596.27 	DISPONIBLE	Plus	355
	38	 1,471.57 	DISPONIBLE	Plus	355
	39	 1,801.16 	DISPONIBLE	Plus	355
	40	 1,990.08 	DISPONIBLE	Plus	355
	41	 1,612.16 	DISPONIBLE	Plus	355
	42	 1,139.35 	VENDIDO	Plus	355
	43	 1,087.30 	APARTADO	Plus	355
	44	 1,079.80 	VENDIDO	Plus	355
	45	 1,409.05 	DISPONIBLE	Plus	355
	46	 1,619.12 	DISPONIBLE	Plus	355
	47	 1,016.33 	DISPONIBLE	Plus	355
	48	 1,016.33 	DISPONIBLE	Plus	355
	49	 1,016.33 	DISPONIBLE	Plus	355
	50	 1,016.33 	DISPONIBLE	Plus	355
	51	 1,016.33 	RESERVADO	Plus	355
	52	 1,016.33 	RESERVADO	Plus	355
	53	 1,016.33 	RESERVADO	Plus	355
U	1	 1,561.88 	VENDIDO	Plus	355
	2	 1,512.22 	VENDIDO	Plus	355
	3	 1,070.30 	VENDIDO	Plus	355
	4	 1,102.32 	VENDIDO	Plus	355
	5	 1,144.31 	VENDIDO	Plus	355
	6	 1,144.31 	DISPONIBLE	Plus	355
	7	 1,144.31 	VENDIDO	Plus	355
	8	 1,144.20 	VENDIDO	Plus	355
	9	 1,055.68 	DISPONIBLE	Plus	355
	10	 1,023.78 	DISPONIBLE	Plus	355
	11	 1,026.54 	VENDIDO	Plus	355
	12	 1,083.72 	DISPONIBLE	Plus	355
	13	 1,199.72 	DISPONIBLE	Plus	355
	14	 1,293.17 	DISPONIBLE	Plus	355
	15	 1,367.25 	DISPONIBLE	Plus	355
	16	 1,397.63 	DISPONIBLE	Plus	355
	17	 1,393.34 	DISPONIBLE	Plus	355
	18	 1,371.11 	DISPONIBLE	Plus	355
	19	 1,383.31 	DISPONIBLE	Plus	355
	20	 1,427.31 	DISPONIBLE	Plus	355
	21	 1,453.27 	VENDIDO	Plus	355
	22	 1,461.37 	DISPONIBLE	Plus	355
	23	 1,451.68 	VENDIDO	Plus	355
	24	 1,424.40 	DISPONIBLE	Plus	355
	25	 1,753.85 	DISPONIBLE	Plus	355
	26	 1,668.25 	VENDIDO	Plus	355
	27	 1,840.06 	DISPONIBLE	Plus	355
	28	 2,266.94 	DISPONIBLE	Plus	355
	29	 2,188.86 	APARTADO	Plus	355
	30	 3,084.61 	APARTADO	Plus	355
	31	 3,273.41 	DISPONIBLE	Plus	355
	32	 2,629.44 	DISPONIBLE	Plus	355
	33	 5,298.69 	DISPONIBLE	Plus	355
	34	 3,294.19 	DISPONIBLE	Plus	355
	35	 10,084.70 	DISPONIBLE	Plus	355
V	1	 36,018.79 	RESERVADO		
W	1	 1,529.56 	DISPONIBLE	Plus	355
	2	 1,996.53 	DISPONIBLE	Plus	355
	3	 1,374.29 	DISPONIBLE	Plus	355
	4	 1,264.20 	DISPONIBLE	Plus	355
	5	 1,337.50 	DISPONIBLE	Plus	355
	6	 1,503.69 	DISPONIBLE	Plus	355
	7	 2,363.20 	DISPONIBLE	Plus	355
	8	 3,586.12 	DISPONIBLE	Plus	355
	9	 2,516.09 	DISPONIBLE	Plus	355
	10	 2,496.45 	DISPONIBLE	Plus	355
	11	 1,562.54 	DISPONIBLE	Plus	355
	12	 1,547.96 	DISPONIBLE	Plus	355
	13	 1,181.38 	DISPONIBLE	Plus	355
	14	 1,181.38 	DISPONIBLE	Plus	355
	15	 1,325.01 	DISPONIBLE	Plus	355
	16	 1,143.88 	DISPONIBLE	Plus	355
	17	 1,499.68 	DISPONIBLE	Plus	355
	18	 1,987.03 	DISPONIBLE	Plus	355
	19	 1,417.25 	DISPONIBLE	Plus	355
	20	 1,074.99 	VENDIDO	Plus	355
	21	 1,270.50 	DISPONIBLE	Plus	355
	22	 2,286.16 	DISPONIBLE	Plus	355
	23	 2,189.16 	DISPONIBLE	Plus	355
	24	 1,590.08 	DISPONIBLE	Plus	355
	25	 20,006.60 	RESERVADO	Plus	355
	26	 2,130.67 	RESERVADO	Plus	355
	27	 1,840.48 	RESERVADO	Plus	355
	28	 1,562.52 	VENDIDO	Plus	355
	29	 1,538.83 	VENDIDO	Plus	355
	30	 1,538.83 	VENDIDO	Plus	355
	31	 1,433.57 	VENDIDO	Plus	355
	32	 2,839.24 	RESERVADO	Plus	355
	33	 3,084.53 	RESERVADO	Plus	355
	34	 1,775.85 	RESERVADO	Plus	355
	35	 1,538.81 	VENDIDO	Plus	355
	36	 3,348.93 	RESERVADO	Plus	355
	37	 1,560.65 	RESERVADO	Plus	355
	38	 1,969.00 	VENDIDO	Plus	355
	39	 1,597.74 	RESERVADO	Plus	355
	40	 1,598.12 	RESERVADO	Plus	355
	41	 1,598.32 	RESERVADO	Plus	355
	42	 1,598.15 	RESERVADO	Plus	355
	43	 1,598.01 	RESERVADO	Plus	355
	44	 1,597.90 	RESERVADO	Plus	355
	45	 1,597.81 	RESERVADO	Plus	355
	46	 1,597.74 	RESERVADO	Plus	355
	47	 1,597.73 	RESERVADO	Plus	355
